OBJECTID,ma_phieu,nam_giao_d,Giadat,Dien_tich,Mat_tien,Vi_tri,Hinh_dang,Cho,CAN,Dinhchua,Giaitri,Truonghoc,TTTM,Yte,UBND
6,CGND09,2017,211,60,4,1,2,901,921,627,340,145,1303,1182,971
14,14,2018,98,33,3,2,3,1008,1057,808,495,537,1440,1416,1045
15,15,2017,97,31,3,2,3,1061,1110,862,548,591,1493,1469,1099
27,DV63,2017,87,42,4,4,2,795,785,800,470,762,274,375,725
35,DV08,2015,90,33,4,4,2,912,910,729,594,841,399,500,849
37,DV56,2018,326,80,6,1,2,542,598,470,356,472,312,406,518
39,DV14,2017,119,55,6,3,2,936,927,838,491,815,416,517,866
40,DV60,2017,238,80,5,2,2,447,421,766,425,458,130,44,377
42,DV47,2016,230,81,6,2,2,705,761,337,490,432,841,905,732
47,DV46,2017,305,163,14,1,2,762,817,393,546,488,898,961,788
52,DV57,2017,197,68,4,4,2,579,635,507,393,509,297,391,555
54,DV62,2016,111,33,6,3,2,814,805,846,471,781,294,395,745
57,DV48,2017,191,93,10,2,1,707,763,222,492,434,843,906,733
58,DV49,2016,215,70,9,2,2,685,741,189,470,407,821,884,711
64,DV65,2016,85,84,6,4,2,691,681,827,357,658,170,272,621
65,DV79,2017,123,34,5,3,3,595,651,130,347,133,698,762,622
66,DV80,2017,119,38,2,4,1,573,629,199,331,116,682,745,599
73,DV83,2017,227,78,5,3,3,484,528,696,362,478,205,299,415
74,DV84,2017,199,44,4,4,2,660,699,1007,189,511,284,385,703
75,DV51,2016,201,101,10,4,2,610,643,949,132,462,225,326,647
77,DV07,2017,111,65,3,1,2,814,870,528,628,700,488,589,790
79,DV64,2017,82,123,3,4,3,741,731,747,416,708,221,322,671
150,HNQH013,2013,98,64,5,3,3,58,2,347,128,95,380,422,128
151,HNQH007,2014,119,51,4,2,1,113,57,402,461,73,346,388,182
152,HNQH006,2014,121,51,7,2,3,167,112,457,462,149,284,325,191
153,HNQH009,2013,119,39,4,3,2,159,104,448,186,140,279,321,186
154,HNQH015,2015,86,42,4,3,2,226,170,515,518,207,340,381,249
155,HNQH008,2014,88,42,4,3,2,222,166,511,514,203,336,378,245
156,HNQH030,2018,98,130,11,2,2,228,172,517,467,209,289,328,166
157,HNQH031,2015,94,78,7,2,2,197,187,522,490,224,328,312,127
158,HNQH004,2014,280,125,6,1,2,292,335,617,406,372,277,228,222
159,HNQH010,2017,242,60,4,1,2,435,491,642,308,424,405,468,461
160,HNQH027,2017,271,64,10,1,2,472,416,672,427,317,249,319,175
161,HNQH017,2016,286,127,9,1,3,566,511,555,521,219,343,368,44
162,HNQH019,2015,112,50,4,2,2,719,738,320,756,454,578,139,256
163,HNQH026,2015,223,80,3,1,2,814,834,199,787,396,685,291,381
164,HNQH020,2017,266,100,6,1,2,475,524,275,174,75,906,882,512
165,HNQH021,2016,281,105,6,1,2,564,613,364,47,139,996,972,602
166,HNQH022,2016,288,185,8,1,2,576,625,376,59,151,1007,984,613
167,HNQH035,2017,275,165,10,1,2,725,774,525,207,378,1016,1080,762
168,HNQH014,2015,124,91,7,4,2,739,788,539,144,297,1169,1147,777
169,HNQH034,2013,97,98,5,4,2,339,388,365,376,138,762,756,376
170,HNQH012,2018,353,90,9,1,2,381,437,363,132,145,483,547,408
171,HNQH037,2017,317,58,5,1,2,357,412,386,108,168,459,522,383
172,HNQH033,2017,316,90,4,1,2,356,412,385,107,167,458,521,382
173,HNQH011,2018,360,109,10,1,2,238,294,488,155,270,443,506,264
174,HNQH038,2018,50,64,5,4,2,275,331,425,262,242,550,614,301
175,HNQH039,2016,133,84,4,2,2,89,145,414,294,201,528,496,116
179,HNQH028,2017,270,110,10,1,2,389,333,678,344,370,166,236,269
180,HNQH002,2017,234,110,5,1,2,368,312,657,329,349,173,151,305
181,HNQH036,2017,68,53,5,2,2,409,353,698,208,390,91,220,357
183,HNQH023,2017,270,73,5,1,2,448,468,175,465,227,850,730,518
184,HNQH025,2017,53,51,5,3,2,448,468,175,366,110,851,730,518
185,HNQH024,2017,259,100,4,1,2,470,490,197,487,249,873,752,540
186,HNQH005,2017,203,105,5,1,2,770,790,426,162,397,1172,877,840
187,HNQH040,2015,112,48,5,2,2,551,607,437,365,481,377,471,527
188,HNQH003,2015,119,40,3,2,2,582,637,406,396,511,407,502,558
189,HNQH018,2016,105,43,4,2,2,835,782,477,792,326,614,507,348
314,5,2017,79,32,4,3,2,541,553,898,210,393,291,420,557
315,28,2018,127,60,6,2,3,944,964,671,905,780,1347,1226,1014
318,37,2018,105,38,5,2,3,450,915,814,562,290,748,806,482
319,38,2018,148,36,3,2,3,279,856,830,386,131,588,689,498
322,41,2018,89,46,4,4,3,840,860,441,871,569,693,115,372

